Title,Title_URL,Like,Title_URL1,Title2,bcl1activitycellb,bcl1activitycellc,bcl1activitycellc3,jvisibleproject,bcl1activityrow_URL,bcl1activityrow,bcl1activityrow4,jloadsinpagemodal_URL,jloadsinpagemodal_URL5,Title1,Text,Pub_Time,Field,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14
C-1,https://www.gbig.org/buildings/574062,"Block C, Sector 3, Noida, Uttar Pradesh, India",https://www.gbig.org/activities/leed-1000102464,Wave 3E,"Registered
LEED India  2011 CS","Registered

LEED India  2011 CS",REGISTERED,REGISTERED,https://www.gbig.org/activities/leed-1000102453,Wave 3DF,"Gold Certified

LEED India  2011 CS 67 pts",https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fsaved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D574062%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fsaved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D574062%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 5 green activities that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 5 green activities that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









5



Green Projects


See all »








Platinum Certified
Registered
Gold Certified




Awards & Certifications",10/30/2023,C-1,Building,C-1,"Wave Corporate Office, Wave 3E, Wave 3DF",Favorite,+ Follow,+ Add to a Collection,+ Add Me,"925,718 square feet",2012,People/Organizations who worked on this building,+ Add Me,No one is associated yet.,ACTIVITY,View other buildings nearby »
DLF IT Park II,https://www.gbig.org/buildings/755669,"Action Area II, Action Area IIE, Rajarhat Newtown, Kolkata, West Bengal, India",https://www.gbig.org/activities/leed-india-cs101150,"IT Park, Kolkata","Registered
LEED India  CS","Registered

LEED India  CS",REGISTERED,REGISTERED,,,,https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fsaved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D755669%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fsaved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D755669%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 5 green activities that achieved outcomes of water use reduction, sustainable site selection and development, responsible materials selection and waste management
+ 3 more


This building is green because it has 5 green activities that achieved outcomes of water use reduction, sustainable site selection and development, responsible materials selection and waste management, enhanced indoor environmental quality, energy efficient operations, and energy efficient design.









5



Green Projects


See all »








Registered
Gold Certified (2)




Awards & Certifications",05/22/2015,DLF IT Park II,Building,DLF IT Park II,"DLF IT Park 1 Kolkata, DLF IT Park 2  Kolkata, IT Park, Kolkata",Favorite,+ Follow,+ Add to a Collection,+ Add Me,1.271 Million square feet,2014,People/Organizations who worked on this building,+ Add Me,No one is associated yet.,ACTIVITY,View other buildings nearby »
25L,https://www.gbig.org/buildings/786001,"Topsia, Kolkata, West Bengal, India",https://www.gbig.org/activities/leed-india-cs111386,23,"Registered
LEED India  CS","Registered

LEED India  CS",REGISTERED,REGISTERED,,,,https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fsaved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D786001%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fsaved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D786001%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 2 green activities that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 2 green activities that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









2



Green Projects


See all »








Registered (2)




Awards & Certifications",04/11/2007,25L,Building,25L,"Ecospace, 23",Favorite,+ Follow,+ Add to a Collection,+ Add Me,1 Million square feet,2007,People/Organizations who worked on this building,+ Add Me,No one is associated yet.,ACTIVITY,View other buildings nearby »
Bagmane World Technology Centre,https://www.gbig.org/buildings/787594,"Laxmi Sagar Layout, Mahadevapura, Bengaluru, Karnataka, India",https://www.gbig.org/activities/leed-india-cs111274,World Technology Center - Building 5,awarded on 01/01/2013,"Gold

LEED India  CS",REGISTERED,GOLD,https://www.gbig.org/activities/leed-india-cs111354,Bagmane-World Technology Centre-4,"Registered

LEED India  CS",https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fsaved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D787594%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fsaved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D787594%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 5 green activities that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 5 green activities that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









5



Green Projects


See all »








Gold Certified
Registered (2)
Gold




Awards & Certifications",01/01/2013,Bagmane World Technology Centre,Building,Bagmane World Technology Centre,"EMC BECP, World Technology Center - Building 5, Bagmane-World Technology Centre-4
+ 1 more",Favorite,+ Follow,+ Add to a Collection,+ Add Me,"782,651 square feet",2008,People/Organizations who worked on this building,+ Add Me,No one is associated yet.,ACTIVITY,View other buildings nearby »
Vrindavan Garden Apartments,https://www.gbig.org/buildings/792410,"3rd Main, Chiranjeevi Layout, Hebbal Kempapura, Bengaluru, Karnataka, India",https://www.gbig.org/activities/leed-india-cs071022,Vrindavan Tech Village,"Registered
LEED India  CS","Registered

LEED India  CS",REGISTERED,REGISTERED,,,,https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fsaved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D792410%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fsaved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D792410%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 3 green activities that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 3 green activities that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









3



Green Projects


See all »








Gold Certified
Registered




Awards & Certifications",03/29/2011,Vrindavan Garden Apartments,Building,Vrindavan Garden Apartments,"NOKIA Network Operation Center Bangalore, Vrindavan Tech Village",Favorite,+ Follow,+ Add to a Collection,+ Add Me,"871,990 square feet",2010,People/Organizations who worked on this building,+ Add Me,No one is associated yet.,ACTIVITY,View other buildings nearby »
ASF Insignia - Visitor Centre,https://www.gbig.org/buildings/793575,"ASF Insignia Road, Gwal Pahari, Bandhwari, Haryana, India",https://www.gbig.org/activities/leed-india-cs111263,ASF Insignia (B3),awarded on 01/01/2013,"Gold

LEED India  CS",,GOLD,,,,https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fsaved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D793575%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fsaved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D793575%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 3 green activities that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 3 green activities that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









3



Green Projects


See all »








Gold
Certified




Awards & Certifications",12/22/2016,ASF Insignia - Visitor Centre,Building,ASF Insignia - Visitor Centre,"Kings Canyon-Tower C:Civil & Interiors, ASF Insignia (B3)",Favorite,+ Follow,+ Add to a Collection,+ Add Me,"921,628 square feet",2011,People/Organizations who worked on this building,+ Add Me,No one is associated yet.,ACTIVITY,View other buildings nearby »
Cement House,https://www.gbig.org/buildings/797543,"Maharshi Karve Road, Marine Lines, Mumbai, Maharashtra, India",https://www.gbig.org/activities/leed-india-nc081088,Orchid - Renovation on Cement House,awarded on 01/01/2010,"Gold

LEED India  NC",,GOLD,,,,https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fsaved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D797543%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fsaved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D797543%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









1



Green Project


See all »








Gold




Awards & Certifications",01/01/2010,Cement House,Building,Cement House,Orchid - Renovation on Cement House,Favorite,+ Follow,+ Add to a Collection,+ Add Me,"123,220 square feet",2010,People/Organizations who worked on this building,+ Add Me,No one is associated yet.,ACTIVITY,View other buildings nearby »
CommerZone,https://www.gbig.org/buildings/797545,"Jail Road/Samrat Ashok Path, Phulenagar, Yerawada, Pune, Maharashtra, India",https://www.gbig.org/activities/leed-india-cs071023,Commerzone Bldg. No. 6,"Registered
LEED India  CS","Registered

LEED India  CS",REGISTERED,REGISTERED,https://www.gbig.org/activities/leed-india-cs071024,Commerzone Bldg. No.7,"Registered

LEED India  CS",https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fsaved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D797545%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fsaved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D797545%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 4 green activities that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 4 green activities that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









4



Green Projects


See all »








Registered (3)
Gold




Awards & Certifications",01/01/2010,CommerZone,Building,CommerZone,"Commerzone Bldg. No. 6, Commerzone Bldg. No.7, Commerzone Bldg No.4
+ 1 more",Favorite,+ Follow,+ Add to a Collection,+ Add Me,"478,199 square feet",2010,People/Organizations who worked on this building,+ Add Me,No one is associated yet.,ACTIVITY,View other buildings nearby »
Mindspace Building No 5 & 6,https://www.gbig.org/buildings/797547,"Thane-Belapur Road, MIDC INDL Area, Airoli, Navi Mumbai, Maharashtra, India",https://www.gbig.org/activities/leed-india-cs111312,"Mindspace, Building No. 5 & 6","Registered
LEED India  CS","Registered

LEED India  CS",REGISTERED,REGISTERED,https://www.gbig.org/activities/leed-india-cs111313,"Mindspace, Building No. 1","Registered

LEED India  CS",https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fsaved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D797547%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fsaved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D797547%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 6 green activities that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 6 green activities that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









6



Green Projects


See all »








Registered (6)




Awards & Certifications",,Mindspace Building No 5 & 6,Building,Mindspace Building No 5 & 6,"Mindspace, Building No. 5 & 6, Mindspace, Building No. 1, Mindspace Bldg. no. 9
+ 3 more",Favorite,+ Follow,+ Add to a Collection,+ Add Me,"693,297 square feet",,People/Organizations who worked on this building,+ Add Me,No one is associated yet.,ACTIVITY,View other buildings nearby »
V Time Square,https://www.gbig.org/buildings/797550,"Laxman Gana Mukadam Marg, Sector 15, CBD Belapur, Navi Mumbai, Maharashtra, India",https://www.gbig.org/activities/leed-india-cs081093,Time Square,awarded on 01/01/2012,"Gold

LEED India  CS",,GOLD,,,,https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fsaved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D797550%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fsaved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D797550%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









1



Green Project


See all »








Gold




Awards & Certifications",01/01/2012,V Time Square,Building,V Time Square,Time Square,Favorite,+ Follow,+ Add to a Collection,+ Add Me,1.2 Million square feet,2012,People/Organizations who worked on this building,+ Add Me,No one is associated yet.,ACTIVITY,View other buildings nearby »
